adolescent_girl,anganwadi_centers,anganwadi_helpers,anganwadi_workers,district_id,districts,eligible_beneficiaries,month,project,sector,state_id,states_uts,year
,1399890.0,1156888.0,1331622,0,781,98874477,12,7202,52769,,36,2024
,1397034.0,,1361383,0,738,99963025,2,7207,52518,,36,2023
,1397143.0,,1356265,0,740,100129469,3,7209,52523,,36,2023
,1394687.0,,1346494,0,756,99863157,1,7216,52950,,36,2024
2294047.0,1400163.0,1156040.0,1331202,0,772,98952059,2,7201,52771,,36,2025
,1399244.0,,1334993,0,764,100394473,6,7205,53061,,36,2024
,1397101.0,,1355624,0,740,100260464,4,7192,52337,,36,2023
,1397102.0,,1297266,0,755,100687994,10,7256,52924,,36,2023
,1396979.0,,1298113,0,756,100977641,8,7209,52532,,36,2023
,1396957.0,,1298128,0,756,101089751,9,7249,52707,,36,2023
,1394189.0,,1348835,0,756,100113563,11,7261,52966,,36,2023
,1396843.0,,1352330,0,740,100647068,5,7193,52404,,36,2023
,1399352.0,,1334056,0,781,100205340,7,7205,52522,,36,2024
2300086.0,1400263.0,1156027.0,1330896,0,772,99181740,3,7262,52784,,36,2025
,1396864.0,,1351104,0,751,101138250,6,7180,52452,,36,2023
,1395100.0,,1336527,0,762,100071071,4,7220,53057,,36,2024
,1399484.0,,1333561,0,781,99878613,8,7205,52555,,36,2024
,1394357.0,,1348135,0,755,100505429,12,7260,52985,,36,2023
,1399508.0,,1333480,0,781,99863765,9,7205,52725,,36,2024
2284806.0,1400117.0,1157172.0,1330966,0,781,98604969,1,7201,52761,,36,2025
,1399247.0,,1335806,0,764,100364268,5,7216,53105,,36,2024
,1396946.0,,1351850,0,756,101097271,7,7187,52504,,36,2023
,1399649.0,,1333828,0,781,98833879,10,7205,52753,,36,2024
,1394869.0,,1338897,0,762,100300669,2,7221,52993,,36,2024
,1395032.0,,1337770,0,762,99927905,3,7219,53017,,36,2024
,1399757.0,1157352.0,1333235,0,781,98992814,11,7202,52753,,36,2024
,69899.0,56570.0,65433,0,31,4358178,12,204,2441,32,0,2024
,65912.0,,65582,0,30,4187391,2,205,2434,32,0,2023
,65914.0,,65405,0,31,4152205,3,206,2434,32,0,2023
,65922.0,,63689,0,31,3988095,1,204,2441,32,0,2024
74301.0,69919.0,55839.0,65034,0,31,4364424,2,204,2439,32,0,2025
,69899.0,,64695,0,31,3927340,6,204,2441,32,0,2024
,65910.0,,65402,0,31,4108801,4,210,2435,32,0,2023
